position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,dpoy,allpro
7,1,0,0,0,0,0,0,7,0,0
8,91,53,25,0,6,0,8,0,0,0
11,116,29,18,0,4,0,6,7,0,0
1,7,5,0,0,2,2,0,7,0,0
7,101,55,7,0,2,2,4,0,0,0
7,61,32,11,0,0,0,2,0,0,0
9,25,17,0,0,0,0,0,5,0,0
3,39,21,10,0,1,0,4,15,0,0
3,0,1,0,0,0,0,0,11,0,0
1,56,11,0,0,2,0,3,0,0,0
4,0,3,0,0,0,0,0,1,0,0
3,4,1,0,0,0,0,0,1,0,0
3,33,14,24,0,0,0,5,0,0,0
3,62,12,49,0,0,0,2,4,0,0
10,3,5,0,0,0,0,0,7,0,0
4,18,23,0,0,0,0,0,15,0,0
11,24,17,0,0,0,0,0,8,0,0
9,96,65,12,0,2,0,8,0,0,0
1,20,2,0,0,2,0,0,11,0,1
1,45,12,0,0,6,0,0,5,0,0
1,13,6,0,0,2,2,0,0,0,0
1,24,1,0,0,3,0,0,0,0,0
1,10,4,0,0,0,0,0,10,0,0
1,62,17,0,0,4,0,4,1,0,0
3,16,15,12,0,0,0,6,11,0,0
13,16,8,0,0,0,0,0,10,0,0
3,1,1,0,0,0,0,0,8,0,0
1,49,9,4,0,6,0,0,2,0,0
9,85,47,4,0,0,0,4,2,0,0
1,18,5,0,0,2,2,0,15,0,0
13,1,3,0,0,0,0,0,4,0,0
4,75,17,26,0,0,0,0,3,0,0
11,42,10,14,0,0,0,3,14,0,0
3,11,9,14,0,1,1,0,8,0,0
1,2,2,0,0,0,0,0,2,0,0
1,25,5,0,0,2,0,2,2,0,0
3,26,13,10,0,0,0,0,3,0,0
12,47,27,0,0,4,2,0,1,0,0
7,1,0,0,0,0,0,0,8,0,0
9,25,31,0,0,0,0,0,2,0,0
4,10,11,0,0,2,0,0,0,0,0
13,33,11,4,0,4,0,4,16,0,0
4,1,5,0,0,0,0,0,1,0,0
3,55,10,33,0,0,0,8,4,0,0
11,84,42,12,0,2,0,5,13,0,0
6,77,15,4,0,12,0,0,0,0,0
13,76,23,0,0,2,0,0,7,0,0
1,1,2,0,0,0,0,0,4,0,0
3,57,10,29,0,1,0,0,18,0,0
6,28,6,0,0,2,0,0,7,0,0
13,24,6,0,0,1,0,0,14,0,0
6,5,1,0,0,0,0,0,5,0,0
3,14,11,0,0,0,0,0,0,0,0
1,3,2,0,0,0,0,0,9,0,0
7,0,1,0,0,0,0,0,4,0,0
1,52,5,0,0,6,2,0,2,0,0
1,3,0,0,0,0,0,0,17,0,0
1,17,6,0,0,0,0,0,2,0,0
10,23,15,8,0,0,0,0,0,0,0
11,48,17,16,0,2,0,0,0,0,0
8,41,25,13,0,5,0,0,0,0,0
3,13,7,11,0,0,0,4,0,0,0
11,13,2,0,0,0,0,0,2,0,0
13,31,16,0,0,4,0,0,4,0,0
4,32,20,8,0,0,0,4,1,0,0
13,17,9,0,0,0,0,0,14,0,0
7,7,14,3,0,0,0,0,2,0,0
11,3,1,0,0,0,0,0,1,0,0
6,33,17,0,0,4,0,0,7,0,0
7,0,1,0,0,0,0,0,11,0,0
1,71,14,4,0,8,2,0,0,0,0
