player_id,player_name,position,season,team,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season
00-0025753,James Ihedigbo,SS,2012,BAL,19,8,4,0,0,0,0,8
00-0025821,Gary Guyton,ILB,2012,LAC,1,0,0,0,0,0,0,7
00-0025828,Wesley Woodyard,LB,2012,DEN,91,53,25,0,6,0,8,0
00-0025838,Jo-Lonn Dunbar,OLB,2012,LA,116,29,18,0,4,0,6,7
00-0025902,Elbert Mack,CB,2012,NO,7,5,0,0,2,2,0,7
00-0025920,Jerrell Freeman,ILB,2012,IND,101,55,7,0,2,2,4,0
00-0025945,Erin Henderson,ILB,2012,MIN,61,32,11,0,0,0,2,0
00-0025999,David Hawthorne,MLB,2012,NO,25,17,0,0,0,0,0,5
00-0026016,Ropati Pitoitua,DE,2012,KC,39,21,10,0,1,0,4,15
00-0026043,Marcus Dixon,DE,2012,NYJ,0,1,0,0,0,0,0,11
00-0026071,Kyle Arrington,CB,2012,NE,56,11,0,0,2,0,3,0
00-0026084,Brian Schaefering,DT,2012,DAL,0,3,0,0,0,0,0,1
00-0026093,Anthony Toribio,DE,2012,KC,4,1,0,0,0,0,0,1
00-0026105,Wallace Gilberry,DE,2012,CIN,33,14,24,0,0,0,5,0
00-0026142,Chris Long,DE,2012,LA,62,12,49,0,0,0,2,4
00-0026145,Glenn Dorsey,NT,2012,KC,3,5,0,0,0,0,0,7
00-0026147,Sedrick Ellis,DT,2012,NO,18,23,0,0,0,0,0,15
00-0026149,Keith Rivers,OLB,2012,NYG,24,17,0,0,0,0,0,8
00-0026150,Jerod Mayo,MLB,2012,NE,96,65,12,0,2,0,8,0
00-0026151,Leodis McKelvin,CB,2012,BUF,20,2,0,0,2,0,0,11
00-0026156,Dominique Rodgers-Cromartie,CB,2012,PHI,45,12,0,0,6,0,0,5
00-0026160,Aqib Talib,CB,2012,NE,13,6,0,0,2,2,0,0
00-0026160,Aqib Talib,CB,2012,TB,24,1,0,0,3,0,0,0
00-0026165,Mike Jenkins,CB,2012,DAL,10,4,0,0,0,0,0,10
00-0026167,Antoine Cason,CB,2012,LAC,62,17,0,0,4,0,4,1
00-0026168,Lawrence Jackson,DE,2012,DET,16,15,12,0,0,0,6,11
00-0026171,Kenny Phillips,SS,2012,NYG,16,8,0,0,0,0,0,10
00-0026172,Phillip Merling,DE,2012,GB,1,1,0,0,0,0,0,8
00-0026175,Brandon Flowers,CB,2012,KC,49,9,4,0,6,0,0,2
00-0026177,Curtis Lofton,MLB,2012,NO,85,47,4,0,0,0,4,2
00-0026180,Tracy Porter,CB,2012,DEN,18,5,0,0,2,2,0,15
00-0026183,Tyrell Johnson,SS,2012,DET,1,3,0,0,0,0,0,4
00-0026190,Calais Campbell,DT,2012,ARI,75,17,26,0,0,0,0,3
00-0026192,Quentin Groves,OLB,2012,ARI,42,10,14,0,0,0,3,14
00-0026194,Jason Jones,DE,2012,SEA,11,9,14,0,1,1,0,8
00-0026200,Patrick Lee,CB,2012,DET,2,2,0,0,0,0,0,2
00-0026200,Patrick Lee,CB,2012,LV,25,5,0,0,2,0,2,2
00-0026206,Kendall Langford,DE,2012,LA,26,13,10,0,0,0,0,3
00-0026207,Charles Godfrey,S,2012,CAR,47,27,0,0,4,2,0,1
00-0026211,Tavares Gooden,ILB,2012,SF,1,0,0,0,0,0,0,8
00-0026214,Dan Connor,MLB,2012,DAL,25,31,0,0,0,0,0,2
00-0026217,Pat Sims,DT,2012,CIN,10,11,0,0,2,0,0,0
00-0026226,Tom Zbikowski,SS,2012,IND,33,11,4,0,4,0,4,16
00-0026227,Andre Fluellen,DT,2012,DET,1,5,0,0,0,0,0,1
00-0026232,Cliff Avril,DE,2012,DET,55,10,33,0,0,0,8,4
00-0026233,Philip Wheeler,OLB,2012,LV,84,42,12,0,2,0,5,13
00-0026238,Thomas DeCoud,FS,2012,ATL,77,15,4,0,12,0,0,0
00-0026240,Tyvon Branch,SS,2012,LV,76,23,0,0,2,0,0,7
00-0026241,Justin King,CB,2012,IND,1,2,0,0,0,0,0,4
00-0026243,William Hayes,DE,2012,LA,57,10,29,0,1,0,0,18
00-0026253,Dwight Lowery,FS,2012,JAX,28,6,0,0,2,0,0,7
