Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams,Player-additional,Year
C,Maurkice Pouncey,PIT,23,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm SN: 1st Tm,PounMa20,2012
C,Max Unger,SEA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 1st Tm PFF: 2nd Tm,UngeMa20,2012
C,Chris Myers,HOU,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,MyerCh20,2012
RG,Alex Boone,SFO,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFF: 2nd Tm,BoonAl21,2012
RT,Andre Smith,CIN,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,PFF: 1st Tm,SmitAn23,2012
RT,Sebastian Vollmer,NWE,28,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,PFF: 2nd Tm,VollSe20,2012
DE,J.J. Watt,HOU,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,69.0,20.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WattJ.00,2012
DE,Cameron Wake,MIA,30,3,16,16,0,0,0,0,0,0,0,0,0,0,0,38.0,15.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WakeCa00,2012
DE,Julius Peppers,CHI,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,32.0,11.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm,PeppJu99,2012
DE,Jared Allen,MIN,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,36.0,12.0,0,FW: 1st Tm All-Conf.,AlleJa22,2012
DT,Geno Atkins,CIN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,39.0,12.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,AtkiGe99,2012
DT,Vince Wilfork,NWE,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,29.0,3.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,WilfVi20,2012
DT,Justin Smith,SFO,33,11,14,14,0,0,0,0,0,0,0,0,0,0,0,47.0,3.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,SmitJu20,2012
DT,Gerald McCoy,TAM,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,23.0,5.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,McCoGe99,2012
DT,Muhammad Wilkerson,NYJ,23,1,16,15,0,0,0,0,0,0,0,0,0,0,0,36.0,5.0,0,PFF: 2nd Tm,WilkMu00,2012
DT,Ndamukong Suh,DET,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,24.0,8.0,0,AP: 2nd Tm,SuhxNd99,2012
DT,Haloti Ngata,BAL,28,6,14,14,0,0,0,0,0,0,0,0,0,0,0,33.0,5.0,0,AP: 2nd Tm,NgatHa20,2012
OLB,Von Miller,DEN,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,55.0,18.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MillVo00,2012
OLB,Aldon Smith,SFO,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,50.0,19.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,SmitAl04,2012
OLB,Jerod Mayo,NWE,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,88.0,3.0,1,FW: 1st Tm All-Conf. PFF: 1st Tm,MayoJe99,2012
OLB,DeMarcus Ware,DAL,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,33.0,11.5,0,AP: 2nd Tm SN: 1st Tm,WareDe99,2012
OLB,Clay Matthews,GNB,26,3,12,12,0,0,0,0,0,0,0,0,0,0,0,32.0,13.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,MattCl99,2012
OLB,Kevin Burnett,MIA,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,80.0,2.5,0,PFF: 2nd Tm,BurnKe20,2012
OLB,Ahmad Brooks,SFO,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,36.0,6.5,1,AP: 2nd Tm,BrooAh21,2012
OLB,Chad Greenway,MIN,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,98.0,3.0,1,AP: 2nd Tm,GreeCh99,2012
